peakid,pkname,pkname2,location,heightm,heightf,himal,region,open,unlisted,trekking,trekyear,restrict,phost,pstatus,pyear,pseason,pmonth,pday,pexpid,pcountry,psummiters,psmtnote
ANNE,Annapurna I East,,Annapurna Himal (ENE of Annapurna I),8026,26332,Annapurna,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,Requires permit for Annapurna I,Nepal only,Climbed,1974,Spring,Apr,29,ANNE74101,Spain,"Jose Manuel Anglada Nieto, Jorge Pons Sangines, Emilio Givis Abad",
ANNM,Annapurna I Middle,,Annapurna Himal (ENE of Annapurna I),8051,26414,Annapurna,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,Requires permit for Annapurna I,Nepal only,Climbed,1980,Autumn,Oct,3,ANNM80301,W Germany,"Udo Boening, Ludwig Greissl, Heinz Oberrauch",
ANNS,Annapurna South,"Annapurna Dakshin, Moditse",Annapurna Himal (S of Annapurna I and Fang),7219,23684,Annapurna,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1964,Autumn,Oct,15,ANNS64301,"Japan, Nepal","Shiochiro Uyeo, Mingma Tsering Sherpa",
APIM,Api Main,,Api Himal,7132,23399,Api/Byas Risi/Guras,Kanjiroba-Far West,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1960,Spring,May,10,APIM60101,"Japan, Nepal","Katsutoshi Hirabayashi, Gyaltsen Norbu Sherpa",1st ascent claimed by UK (H. S. Landor) in 1899 but probably reached only 5000m
APIW,Api West,,Api Himal (W of Api),7076,23215,Api/Byas Risi/Guras,Kanjiroba-Far West,TRUE,FALSE,FALSE,,,Nepal only,Unclimbed,,,,,,,Unclimbed,
ARDN,Ardang,Chyoro Ri,Phupharka Himal (NW of Simikot),6034,19797,Nalakankar/Chandi/Changla,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Climbed,2019,Autumn,Nov,13,ARDN19301,Canada,"Bryce Brown, Sunny Twelker",
ARNK,Arniko Chuli,Araniko Chuli,Mukut Himal (W Mustang near Tibetan border),6034,19797,Mukut/Mustang,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,Opened in 2002,Nepal & China,Climbed,2002,Summer,Jul,10,ARNK02201,"Japan, Nepal","Tamotsu Ohnishi, Ang Phurba Sherpa, Dikki Sherpa",
ASAJ,Asajya Tuppa,,Gorakh Himal (ENE of Simikot on Tibetan border),6265,20554,Nalakankar/Chandi/Changla,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,
BAMO,Bamongo,,Rolwaling Himal (E of Chekigo on Tibetan border),6400,20997,Rolwaling,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2002,Nepal & China,Climbed,2013,Autumn,Oct,30,BAMO13301,"Nepal, China","Mingma Gyalje Sherpa, Yong Liu, Pema Chhiring/Chhiri Sherpa",
BARU,Baruntse,,Khumbu Himal (W of Makalu),7152,23465,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1954,Spring,May,29,BARU54101,New Zealand,"Colin Todd, Geoff Harrow",
BAUD,Baudha,,Mansiri Himal (SE of Manaslu and Himalchuli),6672,21890,Manaslu/Mansiri,Manaslu-Ganesh,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1970,Spring,May,2,BAUD70101,Japan,"Yoshiyuki Kobayashi, Kiyoyasu Shibata",
BEDG,Beding Go,Bedding Go,Rolwaling Himal (N of Beding village on Tibetan border),6125,20095,Rolwaling,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Climbed,2015,Autumn,Oct,21,BEDG15301,"Nepal, Canada, Brazil, Ireland","Mingma Tshering/Tsiri Sherpa, Dean Carriere, Dino De Almeida Camargo, Cian O'Brolchain, Nima Gyalzen Sherpa, Pasang Tenzing Sherpa, Tshering Pemba Sherpa",
BHEM,Bhemdang Ri,Morimoto,Jugal Himal (SE of Shalbachum),6150,20177,Langtang,Langtang-Jugal,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1964,Spring,May,10,BHEM64101,"Japan, Nepal","Tetsuya Kondo, Soshiro Sasaki, Mingma Tshering Sherpa",
BHRI,Bhrikuti,Damodar Himal,Damodar Himal (NE of Thorong La near Tibetan border),6476,21247,Damodar,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Climbed,1982,Spring,May,18,BHRI82101,"Japan, Nepal","Takashi Sakuma, Masanobu Tsuchiya, Tashi Jangbu Sherpa",1-3rd ascents claimed
BHRS,Bhrikuti Shail,,Damodar Himal (NE of Thorong La on Tibetan border),6361,20869,Damodar,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,2005,Spring,May,16,BHRS05101,"France, Nepal","Paulo Grobel, Denis Flaven, Bikram Singh",
BHUL,Bhulu Lhasa,,Kanjiroba Himal (NNW of Kanjiroba North),6102,20020,Kanjiroba,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Climbed,1964,Autumn,Oct,31,BHUL64301,"UK, Nepal","John Tyson, John Cole, Robert Kendall, Mingma Sherpa",
BIJO,Bijora Hiunchuli,,Jagdula Lekh (S of Kande Huinchuli),6111,20049,Kanjiroba,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Unclimbed,,,,,,,Unclimbed,
BOBA,Bobaye,,Api Himal (S of Nampa),6808,22336,Api/Byas Risi/Guras,Kanjiroba-Far West,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1996,Autumn,Nov,2,BOBA96301,Slovenia,Tomaz Humar,
BOKT,Boktoh,Bokta,Kangchenjunga Himal (SE of Jannu),6114,20059,Kangchenjunga/Simhalila,Kangchenjunga-Janak,FALSE,FALSE,TRUE,,Opened in 2002,Nepal only,Climbed,1991,Spring,Apr,10,BOKT91101,Yugoslavia,"Marko Prezelj, Uros Rupar, Andrej Stremfelj",Boktoh possibly climbed in 1959 by Lionel Terray and Rene Desmaison during exploration of Jannu SW side
BTAK,Bhairab Takura,Madiya,Jugal Himal (ENE of Dorje Lhakpa on Tibetan border),6799,22306,Jugal,Langtang-Jugal,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,1960,Spring,May,7,BTAK60101,"Japan, Nepal","Kunitoshi Ishihara, Yukihito Kato, Pasang Phutar Sherpa (I)",
BURK,Burke Kang,Burke Khang,Khumbu Himal (ENE of Hungchhi on Tibetan border),6942,22776,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Climbed,2017,Autumn,Oct,5,BURK17301,"Ireland, Nepal","Noel Hanna, Samden Bhote, Nanda Dorje Sherpa, Pemba Tshering (Maila) Sherpa",
CBAM,Chhopa Bamare,Chomo Pamari,Rolwaling Himal (NW of Lamabagar on Tibetan border),6109,20043,Rolwaling,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Climbed,2019,Winter,Feb,28,CBAM18401,"USA, France","John Kelley, Benjamin Billet",
CHAB,Chabuk,Tsajirip,Ohmi Kangri Himal (E of Ohmi Kangri on Tibetan border),6792,22283,Janak/Ohmi Kangri,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Opened in 2002,Nepal & China,Unclimbed,,,,,,,Unclimbed,
CHAG,Chago,,Makalu Himal (NW of Makalu II on Tibetan border),6893,22615,Makalu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2002,Nepal & China,Climbed,1954,Spring,May,29,CHAG54101,"New Zealand, Nepal","Michael Ball, Urkien Sherpa",
CHAK,Chako,,Damodar Himal (ESE of Bhrikuti Shail),6704,21995,Damodar,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,Opened in 2003,Nepal only,Climbed,2007,Summer,Jul,24,CHAK07201,"Japan, Nepal","Kazhisa Kamisaka, Akio Omura, Hari Bahadur Chaulagai, Ang Phuri Lama",
CHAM,Chamlang,,"Khumbu Himal (in Hongku Valley, SW of Makalu)",7321,24019,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1962,Spring,May,31,CHAM62101,"Japan, Nepal","So Anma, Pasang Phutar Sherpa (I)",
CHAN,Changla,Changla Himal,Changla Himal (N of Jumla on Tibetan border),6563,21532,Nalakankar/Chandi/Changla,Kanjiroba-Far West,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,2010,Autumn,Sep,27,CHAN10301,Japan,"Hirofumi Kobayashi, Seiya Nakasukasa, Yuta Shibayama, Naoki Yamaguchi",Climbed illegally by Sean Burch in October 2016?
CHAW,Chaw Peak,Chaw East,Ohmi Kangri Himal (WNW of Ohmi Kangri on Tibetan border),6404,21010,Janak/Ohmi Kangri,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Opened in 2002,Nepal & China,Unclimbed,,,,,,,Unclimbed,
CHEK,Chekigo,,Rolwaling Himal (ENE of Beding village on Tibetan border),6257,20528,Rolwaling,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,2002,Opened in 2002 as trekking peak,Nepal & China,Climbed,2005,Spring,May,15,CHEK05101,"UK, Switzerland","Bruce Normand, Oliver von Rotz",1st known ascent
CHEO,Cheo Himal,,Peri Himal (ESE of Himlung Himal on Tibetan border),6820,22375,Peri,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,1991,Autumn,Oct,13,CHEO91301,"Japan, Nepal","Dambar Bahadur Gurung, Shigeki Imoto, Ful Bahadur Rai, Pasang Tshering Sherpa",
CHIV,Chhiv Himal,Chhib Himal,Damodar Himal (SW of Saribang and WSW of Bhrikuti),6650,21818,Damodar,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,2004,Autumn,Sep,18,CHIV04301,Japan,"Takeshi Wada, Mitsuhiro Koseki, Yubo Shibata, Takeo Yoshinaga",
CHKA,Chamar Kang,"Chharka, Kangtega","Mukut Himal (NW of Tsharka village, SE of Tingkyu village)",6060,19882,Mukut/Mustang,Dhaulagiri-Mukut,FALSE,TRUE,FALSE,,,Nepal only,Climbed,2007,Autumn,Sep,21,CHKA07301,"Japan, Nepal","Tamotsu Ohnishi, Toshitsugi Irisawa, Koichi Kato, Chhepa Sherpa",
CHMN,Chamar North,Peak 23,Shringi Himal,7165,23507,Ganesh/Shringi,Manaslu-Ganesh,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Climbed,1953,Spring,Jun,5,CHMN53101,"New Zealand, Nepal","Maurice Bishop, Nyamgel Sherpa",
CHMR,Chamar,Shringi Himal,Shringi Himal (SSE of Chamar),7161,23494,Ganesh/Shringi,Manaslu-Ganesh,TRUE,FALSE,FALSE,,,Nepal only,Unclimbed,,,,,,,Unclimbed?,
CHND,Chandi Himal,,Chandi Himal (NE of Simikot on Tibetan border),6142,20151,Nalakankar/Chandi/Changla,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2002,Nepal & China,Climbed,2023,Spring,May,19,CHND23101,"USA, Nepal","Jaime Iranzo Sanz, Pemba Sherpa",Climbed illegally by Sean Burch in October 2016?
CHNG,Changdi,,Palchung Himal (SE of Kanti Himal peak on Tibetan border),6623,21729,Kanti/Palchung,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,
CHOB,Chobuje,"Chobutse, Tsoboje",Rolwaling Himal (NE of Tsho Rolpa),6686,21936,Rolwaling,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1972,Spring,Apr,24,CHOB72101,W Germany,"Wolfgang Weinzierl, Peter Vogler, Gustav Harder, Klaus Harder",Illegal ascent
CHOL,Cholatse,"Tsolatse, Jobo Lhaptshan",Khumbu Himal (N of Tawoche),6423,21073,Khumbu,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,2002,Converted to trekking peak in 2002,Nepal only,Climbed,1982,Spring,Apr,22,CHOL82101,"USA, UK","John Roskelley, Galen Rowell, Vern Clevenger, Bill O'Connor",
CHOP,Cho Polu,,"Khumbu Himal (S of Shartse, N of Baruntse)",6700,21982,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1984,Autumn,Nov,,CHOP84301,Spain,Nil Bohigas Martorell,"1st official ascent Nov 12, 1999 by Markus Walter, Guenter Jung, Olaf Rieck and Dieter Ruelker (Germans)"
CHOY,Cho Oyu,,Khumbu Himal (NW of Everest on Tibetan border),8188,26864,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,1954,Autumn,Oct,19,CHOY54301,"Austria, Nepal","Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama",
CHRE,Churen Himal East,,Dhaulagiri Himal (NW of Dhaulagiri VI),7371,24183,Dhaulagiri,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,One permit for Churen Himal's three summits,Nepal only,Climbed,1970,Spring,Apr,29,CHRE70101,"S Korea, Nepal","Kim Ho-Sup, Rinsing Ongyal Sherpa",
CHRI,Chhukung Chuli,Chhukung Ri,Khumbu Himal (S of Lhotse),5550,18209,Khumbu,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,2002,Opened in 1997; converted to trekking peak in 2002,Nepal only,Climbed,1965,Spring,May,,CHRI65101,Netherlands,Johannes Adolf Noordijk,
CHRW,Churen Himal West,,Dhaulagiri Himal (NW of Dhaulagiri VI),7371,24183,Dhaulagiri,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,One permit for Churen Himal's three summits,Nepal only,Climbed,1970,Autumn,Oct,28,CHRW70301,"Japan, Nepal","Kozo Hasegawa, Ang Norbu Sherpa",
CHUB,Chhuboche,,Damodar Himal (NNE of Pisang Peak),5606,18392,Damodar,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal only,Climbed,2013,Autumn,Nov,16,CHUB13301,UK,"Brian Jackson, Hugh Wrightson, Pasang Sherpa, Tendi Wangya",
CHUG,Chukyima Go,Chugimago,Rolwaling Himal (WSW of Tesi Laptsa),6258,20531,Rolwaling,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Climbed,2014,Autumn,Nov,12,CHUG14301,Slovenia,"Domen Kastelic, Sam Hennessey","Originally thought that 1952 Scottish expedition climbed this peak, but likely Peak 5794m instead"
CHUK,Chhukung Tse,,Khumbu Himal (S of Lhotse),5833,19137,Khumbu,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,,,Nepal only,Climbed,1953,Spring,Apr,3,CHUK53101,"UK, Nepal","John Hunt, Tenzing Norgay Sherpa",
CHUL,Chulu Central,Chulu East,Damodar Himal (E of Thorong La),6584,21601,Damodar,Annapurna-Damodar-Peri,FALSE,FALSE,TRUE,1978,,Nepal only,Climbed,1955,Summer,Jul,23,CHUL55201,W Germany,"Heinz Steinmetz, Harald Biller, Fritz Lobbichler, Juergen Wellenkamp",
CHUM,Chumbu,,Khumbu Himal (WSW of Khangri Shar near Tibetan border),6859,22503,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Climbed,2022,Autumn,Oct,29,CHUM22301,Czech Republic,"Zdenek Hak, Jaroslav Bansky, Radoslav Groh, Petr Kejklicek",
CHUR,Churen Himal Central,,Dhaulagiri Himal (NW of Dhaulagiri VI),7385,24229,Dhaulagiri,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,One permit for Churen Himal's three summits,Nepal only,Climbed,1970,Autumn,Oct,24,CHUR70301,Japan,"Masayoshi Fukui, Kozo Hasegawa",
CHUW,Chulu West,,Damodar Himal (E of Thorong La),6419,21060,Damodar,Annapurna-Damodar-Peri,FALSE,FALSE,TRUE,1978,,Nepal only,Climbed,1952,Autumn,Oct,23,CHUW52301,Japan,"Kinji Imanishi, Kazuhiko Hayashi, Sasuke Nakao, Jiro Taguchi, Masataka Takagi, Sakuta Takebushi",
CHWT,Changwathang,,Chandi Himal (S of Tibetan border),6130,20112,Nalakankar/Chandi/Changla,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,2000,Summer,Jun,28,CHWT00201,"Japan, Nepal","Tamotsu Ohnishi, Koji Mizutani, Nobuo Akayama, Takehiko Yanagihara, Chuldim Nuru Sherpa, Dawa Sherpa",
CPHU,Chhochenphu Himal,,Ohmi Kangri Himal (SW of Pabuk Kang near Tibetan border),6260,20538,Janak/Ohmi Kangri,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Unclimbed,,,,,,,Unclimbed,
CTSE,Changtse,Everest North Peak,North of Everest (in Tibet),7583,24879,Khumbu,Khumbu-Rolwaling-Makalu,FALSE,TRUE,FALSE,,Peak entirely within China,China only,Climbed,1982,Autumn,Oct,14,CTSE82301,W Germany,Udo Zehetleitner,
DANG,Danga,,"Ohmi Kangri Himal (WNW of Lhonak, E of Nupchu)",6355,20850,Janak/Ohmi Kangri,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,2002,Autumn,Oct,20,DANG02301,Denmark,"Allan Christensen, Bo Belvedere Christensen, Jan Mathorne",
DANS,Danphe Shail,Danfe Shail,Palchung Himal (N of Kanjiroba on Tibetan border),6103,20023,Kanti/Palchung,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2002,Nepal & China,Climbed,2017,Autumn,Oct,5,DANS17301,"France, Nepal","Sonia Baillif, Etienne De Fleurian, Laurence De Fleurian, Paulo Grobel, Jean Males, Etienne Principaud, Bernard Vallet, Dipen Bhote, Dhan Magar, Anil Rai",
DGAR,Dhaulagari,Dhaulasiri,"Raksha Urai Himal (E of Bobaye, S of Raksha Urai)",6638,21778,Api/Byas Risi/Guras,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Unclimbed,,,,,,,Unclimbed,
DHA1,Dhaulagiri I,,Dhaulagiri Himal,8167,26795,Dhaulagiri,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1960,Spring,May,13,DHA160101,"Switzerland, Austria, W Germany, Nepal","Peter Diener, Kurt Diemberger, Albin Schelbert, Ernst Forrer, Nima Dorje Sherpa, Nawang Dorje Sherpa",
DHA2,Dhaulagiri II,,Dhaulagiri Himal (NW of Dhaulagiri I),7751,25430,Dhaulagiri,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1971,Spring,May,18,DHA271101,"Austria, USA, Nepal","Adolf Huber, Ronald Fear, Adi Weissensteiner, Jangbu Sherpa",
DHA3,Dhaulagiri III,"Nalu, Naula",Dhaulagiri Himal (SW of Dhaulagiri II),7715,25312,Dhaulagiri,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1973,Autumn,Oct,20,DHA373301,W Germany,"Klaus Schreckenbach, Gerhard Haberl, Hans Saler",
DHA4,Dhaulagiri IV,,Dhaulagiri Himal (W of Dhaulagiri V),7661,25135,Dhaulagiri,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1975,Spring,May,9,DHA475101,Japan,"Shiro Kawazu, Etsuro Yasuda",1st ascent claimed (summmiters died in fall on descent)
DHA5,Dhaulagiri V,,Dhaulagiri Himal (SW of Dhaulagiri III),7618,24993,Dhaulagiri,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1975,Spring,May,1,DHA575101,"Japan, Nepal","Masaaki Morioka, Pemba Tsering Sherpa",
DHA6,Dhaulagiri VI,,Dhaulagiri Himal (WSW of Dhaulagiri IV),7268,23845,Dhaulagiri,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1970,Spring,Apr,17,DHA670101,Japan,"Shiro Kawazu, Shoichi Kimura, Hisazumi Nakamura, Seijiro Yamamura",
DHAM,Dhampus,"Thapa Peak, Marpha Peak",Mukut Himal (NE of Dhaulagiri I and Tukuche),6012,19724,Mukut/Mustang,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1960,Spring,Apr,,DHAM60101,Austria,Kurt Diemberger,Dhampus has two summits (the western summit is called Thapa)
DHEC,Dhechyan Khang,,Damodar Himal (ESE of Gaugiri on Tibetan border),6019,19747,Damodar,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Climbed,2018,Spring,May,5,DHEC18101,"Austria, Germany, Nepal","Wolfgang Drexler, Martin Thallmair, Lawang Tamang, Yokachi Tamang",
DING,Dingjung North,"Kangkuru, Rima Mancho",Rolwaling Himal (S of Pangbuk Ri on Tibetan border),6249,20502,Rolwaling,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Climbed,1955,Spring,May,16,DING55101,UK,"Peter Boultbee, Dennis Davis",This team called the peak Kangkuru
DINS,Dingjung Ri,Dingjung Ri South,Rolwaling Himal (S of Pangbuk Ri on Tibetan border),6196,20328,Rolwaling,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2002,Nepal & China,Climbed,2008,Spring,Mar,15,DINS08101,Japan,"Kenro Nakajima, Hiroki Yamamoto",1st known ascent (may be others earlier)
DOGA,Dogari,,Dhaulagiri Himal (WNW of Putha Hiunchuli),6536,21444,Dhaulagiri,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,Opened in 2003,Nepal only,Unclimbed,,,,,,,Unclimbed,
DOLM,Dolma Khang,Tseringma,Rolwaling Himal (SE of Gaurishankar on Tibetan border),6332,20774,Rolwaling,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Climbed,1980,Spring,Apr,11,DOLM80101,"Australia, Nepal","Graham Brammer, Paul Richards, Shambu Tamang",
DOMK,Dome Kang,,Jongsang Himal (ESE of Jongsong on Indian border),7264,23832,Jongsang,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Opened in 2002,Nepal & India,Climbed,2009,Spring,Apr,28,DOMK09101,"Spain, Nepal","Emilio Lagunilla, Carlos Soria, Chhang Dawa Sherpa, Karma Gyalzen Sherpa, Halung Dorchi Sherpa",
DOMO,Domo,Jongsang SE Peak,Jongsang Himal (SE of Jongsong on Indian border),7447,24432,Jongsang,Kangchenjunga-Janak,FALSE,TRUE,FALSE,,,Nepal & India,Climbed,1930,Spring,Jun,8,DOMO30101,"Germany, Nepal","Guenter Dyhrenfurth, Lewa Sherpa",
DOR2,Dorje Lakpa II,Jugal Himal,Jugal Himal (S of Dorje Lhakpa),6593,21631,Jugal,Langtang-Jugal,FALSE,TRUE,FALSE,,,Nepal only,Climbed,2022,Spring,Apr,30,DOR222101,UK,"Paul Ramsden, Timothy Miller",
DORJ,Dorje Lhakpa,,Jugal Himal (near Tibetan border),6966,22854,Jugal,Langtang-Jugal,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1981,Autumn,Oct,18,DORJ81301,"Japan, Nepal","Kunio Kataoka, Makoto Anbe, Kazunari Murakami, Eiichi Shingyoji, Pemba Tsering Sherpa",Rumored that two British climbers summited via the W Ridge in 1979 (Dick Isherwood and Geoff Cohen)
DRAG,Dragmorpa Ri,Thakmarpo Ri,Langtang Himal (SW of Tilman's Col on Tibetan border),6185,20292,Langtang,Langtang-Jugal,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,2013,Spring,May,30,DRAG13101,Russia,Roman Gretzky,Did Gretzky climb Dagmorpa Ri or Paniyo Tippa in Khumbu?
DRAN,Drangnag Ri,Thaknak Ri,Rolwaling Himal (N of Tesi Laptsa near Tibetan border),6757,22169,Rolwaling,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1995,Spring,Apr,30,DRAN95101,"Norway, UK, Nepal","Chris Bonington, Ralph Hoibakk, Bjorn Myrer-Lund, Lhakpa Gyalu Sherpa, Pema Dorje Sherpa",
DROM,Drohmo,"Domo, Longridge Peak",Jongsang Himal (NNW of Kangchenjunga),6881,22575,Jongsang,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Opened in 1997,Nepal only,Unclimbed,,,,,,,Main summit unclimbed,
